qid,question,definition,ambiguous,candidate_answer,candidate_unit,source_page,evidence_anchors,company,fiscal_year,verdict,corrected_answer,corrected_unit,notes,precheck,page_excerpt,source_note,also_on_pages
FI0e301c32,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were goodwill (goodwill as reported in the consolidated financial statements)?",goodwill as reported in the consolidated financial statements,no,12505.5,INR million,286,p286: Goodwill | 12505.5,Sun Pharmaceutical Industries Limited,2023-24,rejected,,,"Factual Error: The prompt explicitly asks for ""goodwill"" as reported in the consolidated financial statements for Sun Pharmaceutical Industries Limited for the year ended March 31, 2024.Incorrect Figure: The candidate's extracted figure of 12,505.5 INR million is incorrect. For context, Sun Pharmaceutical's consolidated goodwill is significantly larger (reported at ₹87,127.1 million for the previous fiscal year ending March 31, 2023, and remaining in a similar range for FY24). Furthermore, the company's standalone goodwill for FY24 is only ₹1,208.0 million.  Conclusion: The candidate extracted an unrelated metric from the document instead of the true consolidated goodwill line item from the face of the balance sheet. Because the figure is fundamentally incorrect, the answer does not satisfy the requirements of the prompt.",on_cited_page,"Goodwill  //  12,505.5","row 'Goodwill', column 'March 31, 2024' (p.286, Sun Pharmaceutical Industries Limited   |   Annual Report 2023-24, table 1, column 'March 31, 2024')",
FI112f618b,"For Tata Motors Limited, in the 2023-24 consolidated financial statements, what was net profit margin?",,yes,,,281,p281: Profit for the year (IX-X) | 31806.75 ;; p281: Revenue from operations | 34,Tata Motors Limited,2023-24,validated,7.26,percent,"(Note: If calculated using ""Total Income"", which includes other non-operating income of ₹5,949.92 crore for a total of ₹443,877.69 crore, the margin would be 7.17%. However, 7.26% reflects the standard operating revenue basis). || validator's working, verbatim: Metric: Net Profit Margin (derived metric).Formula: Net Profit Margin is standardly calculated as (Profit for the year / Total revenue from operations) * 100.Extraction: According to Tata Motors Limited's Consolidated Statement of Profit and Loss for the year ended March 31, 2024:  Profit for the year = ₹31,806.75 crore  Total revenue from operations = ₹437,927.77 crore  Calculation: (31,806.75 / 437,927.77) * 100 = 7.263%Conclusion: The derived net profit margin is 7.26%.(Note: If calculated using ""Total Income"", which includes other non-operating income of ₹5,949.92 crore for a total of ₹443,877.69 crore, the margin would be 7.17%. However, 7.26% reflects the standard operating revenue basis).",no_candidate,,,
FI0e3bc749,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were basic earnings per share (basic earnings per share as reported in the consolidated financial statements)?",basic earnings per share as reported in the consolidated financial statements,no,90.42,,477,p477: Basic earnings per share (`) | 90.42,HDFC Bank Limited,2023-24,rejected,,,"Metric Mismatch (Standalone vs. Consolidated): The prompt explicitly asks for ""basic earnings per share"" as reported in the consolidated financial statements.Factual Error: The candidate extracted the figure 90.42. This is the basic earnings per share from HDFC Bank Limited's standalone Statement of Profit and Loss for the year ended March 31, 2024 (corresponding to a standalone net profit of approximately ₹60,810 crore).Consolidated Figure: The actual consolidated basic earnings per share is higher (approximately ₹95.25), as it incorporates the earnings from the bank's subsidiaries (such as HDB Financial Services and HDFC AMC), bringing the consolidated net profit to around ₹64,060 crore.Conclusion: Because the candidate extracted the standalone EPS rather than navigating further into the annual report to find the requested consolidated EPS, the candidate failed to satisfy the specific requirements of the prompt. Therefore, the answer is wrong.",on_cited_page,Basic earnings per share (`)  //  90.42,"row 'Basic earnings per share (`)', column 'March 31, 2024' (p.477, Financial Statements, table 1, column 'March 31, 2024')",
FI0560ee2f,"For Infosys Limited, as reported for the year ended March 31, 2024, what were cost of technical sub-contractors (cost of technical sub-contractors as reported in the consolidated financial statements)?",cost of technical sub-contractors as reported in the consolidated financial statements,no,12232,INR crore,13,p13: Cost of technical sub-contractors | 12232,Infosys Limited,2023-24,validated,,,,on_cited_page,"Cost of technical sub-contractors  //  12,232","row 'Cost of technical sub-contractors', column '(In ₹ crore, except equity share and per equity share data) Year ended March 31, 2024 2023' (p.13, Consolidated Statement of Profit and Loss, table 0, column '(In ₹ crore, except equity share and per equity share data) Year ended March 31, 2024 2023')",
FI0f259754,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were provisions (provisions as reported in the consolidated financial statements)?",provisions as reported in the consolidated financial statements,no,2044,crore,110,p110: Provisions | 2044,Reliance Industries Limited,2023-24,rejected,,,"Incorrect Source Table: The question explicitly asks for ""provisions"" as reported in the consolidated financial statements (which refers to the face of the balance sheet). The candidate extracted the figure 2,044 from a table related to the ""Managing Director,"" which indicates it was pulled from a specific disclosure on executive remuneration rather than the company's financial statements.Metric Mismatch: The extracted figure likely represents specific provisions made for executive compensation or retirement benefits for the managing director, rather than the company's total corporate provisions.Conclusion: Because the candidate pulled a much smaller, unrelated metric from a notes/remuneration table instead of the correct provisions line items (typically split into current and non-current provisions) from the consolidated balance sheet, the answer does not satisfy the requirements of the prompt and is therefore wrong.",on_cited_page,"Provisions  //  2,044","row 'Provisions', column '' (p.110, Managing Director, table 0)",
FI1f0adbf8,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were finance cost (finance cost as reported in the standalone financial statements)?",finance cost as reported in the standalone financial statements,no,4346.9,INR million,201,p201: Interest expense | 4346.9,Sun Pharmaceutical Industries Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt asks for ""finance cost"" as reported in the standalone financial statements, which typically refers to the dedicated line item on the face of the Standalone Statement of Profit and Loss.Metric Mismatch / Factual Error: The candidate extracted the figure 4,346.9 from a note regarding ""Ind AS- 24 - RELATED PARTY DISCLOSURES"". The ""Interest expense"" line within a related party disclosure table only captures interest paid or accrued to related parties, not the company's total finance costs.Conclusion: Because the candidate pulled a specific, partial subset of interest expenses from a disclosures note rather than the total standalone finance cost from the Statement of Profit and Loss, the answer does not satisfy the requirements of the prompt and is wrong.",on_cited_page,"Interest expense  //  4,346.9","row 'Interest expense', column 'March 31, 2023' (p.201, Ind AS- 24 - “RELATED PARTY DISCLOSURES”, table 2, column 'March 31, 2023')",
FI222c2fc4,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were finance cost (finance cost as reported in the consolidated financial statements)?",finance cost as reported in the consolidated financial statements,no,10.19,INR crore,339,p339: Interest expense | 10.19,Tata Motors Limited,2023-24,rejected,,,"Metric Mismatch: The prompt explicitly asks for ""finance cost"" as reported in the consolidated financial statements, which refers to the main line item on the face of the Consolidated Statement of Profit and Loss.Factual Error / Absurd Scale: The candidate extracted the figure 10.19 INR crore. For a company of Tata Motors' size (which includes Jaguar Land Rover), the total consolidated finance costs are in the thousands of crores (approximately ₹10,487 crore for FY24).Incorrect Source: The extracted value of 10.19 represents a minuscule sub-component or a specific note disclosure (such as interest on a specific minor liability or a related-party note), not the company's total consolidated finance cost.Conclusion: Because the candidate pulled a small, unrelated metric from a notes table rather than the total consolidated finance cost from the Statement of Profit and Loss, the answer does not satisfy the requirements of the prompt and is therefore wrong.",on_cited_page,Interest expense  //  10.19,"row 'Interest expense', column 'March 31, 2024' (p.339, FINANCIALS, table 0, column 'March 31, 2024')",
FI0fe0af23,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were diluted earnings per share (diluted earnings per share as reported in the consolidated financial statements)?",diluted earnings per share as reported in the consolidated financial statements,no,82.27,,477,p477: Diluted earnings per share (`) | 82.27,HDFC Bank Limited,2023-24,rejected,,,"Metric Mismatch (Standalone vs. Consolidated): The prompt explicitly asks for ""diluted earnings per share"" as reported in the consolidated financial statements.Factual Error: The candidate extracted the figure 82.27. This represents the diluted earnings per share from HDFC Bank Limited's standalone Statement of Profit and Loss for the year ended March 31, 2023.Consolidated Figure: The actual consolidated diluted earnings per share for this period is higher (approximately ₹85.76), as it includes the earnings contribution from the bank's subsidiaries (such as HDB Financial Services and HDFC Securities).Conclusion: Because the candidate extracted the standalone EPS rather than navigating further into the annual report to find the requested consolidated metric, the candidate failed to satisfy the specific requirements of the prompt. Therefore, the answer is wrong.",on_cited_page,Diluted earnings per share (`)  //  82.27,"row 'Diluted earnings per share (`)', column 'March 31, 2023' (p.477, Financial Statements, table 1, column 'March 31, 2023')",
FI056816bb,"For Infosys Limited, as reported for the year ended March 31, 2024, what were deferred tax (deferred tax as reported in the consolidated financial statements)?",deferred tax as reported in the consolidated financial statements,no,454,INR crore,11,p11: Deferred tax assets (net) | 454,Infosys Limited,2023-24,rejected,,,"Metric Mismatch: The question explicitly asks for ""deferred tax"" as reported in the consolidated financial statements. In standard Ind AS presentation, this refers to the specific ""Deferred tax"" line item found under ""Tax expense"" on the face of the Consolidated Statement of Profit and Loss (which for Infosys in FY24 was ₹1,413 crore).Asset vs. Expense: The candidate instead extracted the figure for ""Deferred tax assets (net)"" from the Consolidated Balance Sheet.Conclusion: By extracting a balance sheet asset rather than the explicitly requested tax expense line item, the candidate failed to satisfy the precise requirements of the prompt. Therefore, the answer is wrong.",on_cited_page,Deferred tax assets (net)  //  454,"row 'Deferred tax assets (net)', column '2024' (p.11, Consolidated Balance Sheet, table 0, column '2024')",
FI12bed9a1,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were total income (total income as reported in the consolidated financial statements)?",total income as reported in the consolidated financial statements,no,930529,crore,111,p111: Total Income | 930529,Reliance Industries Limited,2023-24,validated,,,,on_cited_page,"Total Income  //  9,30,529","row 'Total Income', column '2023-24' (p.111, Managing Director, table 2, column '2023-24')",
